#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
I,xorg-server,"is the graphical server."
I,xorg-xwininfo,"allows querying information about windows."
I,xorg-xinit,"starts the graphical server."
V,xorg-minimal,"is the graphical server."
V,xorg-fonts,"is a font package."
V,xinit,"starts the graphical server."
V,xdg-utils,"are filetype utilities."
V,libX11-devel,"is required for the compilation of some programs."
V,libXft-devel,"is required for the compilation of some programs."
V,gcr-devel,"is required for the compilation of some programs."
V,fontconfig-devel,"is required for the compilation of some programs."
V,i3-gaps,"is the main graphical user interface and window manager."
V,font-libertine-ttf,"provides the sans and serif fonts for LARBS."
V,lf,"is an extensive terminal file manager that everyone likes."
V,arandr,"is a UI for screen adjustment."
V,bc,"is used for a dropdown calculator."
V,calcurse,"is a lightweight terminal-based calendar."
V,xcompmgr,"is for transparency and removing screen-tearing."
I,xorg-xprop,"is a tool for detecting window properties."
V,xprop,"is a tool for detecting window properties."
V,dosfstools,"allows your computer to access dos-like filesystems."
V,libnotify,"allows desktop notifications."
V,dbus,"facilitates inter-process communication."
V,dunst,"is a suckless notification system."
V,exfat-utils,"allows management of FAT drives."
V,sxiv,"is a minimalist image viewer."
V,xwallpaper,"sets the wallpaper."
V,ffmpeg,"can record and splice video and audio on the command line."
V,gnome-keyring,"serves as the system keyring."
G,https://github.com/cyrinux/arc-gruvbox-theme.git,"gives the dark GTK theme used in LARBS."
V,neovim,"a tidier vim with some useful features"
V,i3blocks,"is the status bar."
V,mpd,"is a lightweight music daemon."
V,mpc,"is a terminal interface for mpd."
V,mpv,"is the patrician's choice video player."
V,man-db,"lets you read man pages of programs."
V,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
V,newsboat,"is a terminal RSS client."
I,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
V,noto-fonts-emoji,"is an emoji font."
V,font-symbola,"provides unicode and emoji symbols."
V,ntfs-3g,"allows accessing NTFS partitions."
V,pulseaudio,"is the audio system."
V,pulsemixer,"is an audio controler."
V,pamixer,"is a command-line audio interface."
G,https://github.com/andmarti1424/sc-im.git,"is an Excel-like terminal spreadsheet manager."
V,maim,"can take quick screenshots at your request."
V,abook,"is an offline addressbook usable by neomutt."
V,socat,"is a socket utility."
V,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
V,unclutter,"hides an inactive mouse."
V,unclutter-xfixes,"hides an inactive mouse."
V,unrar,"extracts rar's."
V,unzip,"unzips zips."
# stopped here, yeet, yoink
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
V,xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
V,ts,"queues commands or files for download."
A,simple-mtpfs-git,"enables the mounting of cell phones."
V,simple-mtpfs,"enables the mounting of cell phones."
V,setxkbmap,"allows LARBS's unique keyboard bindings."
V,xmodmap,"allows LARBS's unique keyboard bindings."
V,xsetroot,"sets status bar and other X properies."
V,xset,"allows speeding up the X rate."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
